orf	E0	E3	L	P	M	F	pvalue	Diffexpr
CG5016-A	0.114638841702571	0.102256264290509	0.0778833332739789	0.0888642392579167	0.508270672429681	0.108086649045343	6.31175579137223e-06	FALSE
CG5017-A	0.104228937312947	0.100896987846859	0.10149005915391	0.207065812705925	0.36327056496408	0.123047638016278	4.35381882829905e-22	TRUE
CG5018-A	0.182980331134113	0.175131227817036	0.176204671455402	0.139195969575434	0.144244457684873	0.182243342333142	1.00144465978404e-11	TRUE
CG5020-A	0.20028171052988	0.178158303806415	0.125463098330563	0.147906973714875	0.184366443301899	0.163823470316368	0.228712346736992	FALSE
CG5020-B	0.183015047764219	0.143343100342532	0.148634245179594	0.12749807511414	0.206338492978396	0.191171038621119	0.00335435982924315	FALSE
CG5020-C	0.104765854234602	0.106705334256779	0.165677726678141	0.135017944118233	0.245356054327213	0.242477086385033	5.00256185378706e-06	TRUE
CG5022-A	0.145257937067012	0.162780859569368	0.175745108340003	0.190063310806654	0.166583292642227	0.159569491574736	2.26281945856222e-08	TRUE
CG5023-A	0.103346702804965	0.109020920803776	0.315387871848654	0.102012951029136	0.190675489643219	0.179556063870249	8.50549003527374e-19	TRUE
CG5024-A	0.108109302565841	0.106527994833653	0.08929491128495	0.186477007200894	0.367458155066044	0.142132629048617	0.00236406560838542	FALSE
CG5027-A	0.199791744359965	0.185046078990044	0.152160620967377	0.161497992215731	0.138371160972596	0.163132402494286	8.2076703675069e-07	TRUE
CG5028-A	0.168361532390907	0.148876103650589	0.183145965022069	0.124558602788823	0.177989184379515	0.197068611768097	3.9242458533169e-08	TRUE
CG5029-A	0.180504472330945	0.159874334535906	0.195977026236422	0.142223796177501	0.155770892400269	0.165649478318958	0.000287662744897737	FALSE
